C:\mbw\results\A16_414.txt
RUN INFORMATION:
================
Counting protocol no: 16                                  Thu 19-Dec-2019  4:37
Name: COPY_OF_H-3_KORTYZOL_5_MIN
CPM normalization protocol no:  2


COLUMNS:
========
 	SAMPLE	POS	CCPM1	CCPM1%	
 	Unk_104	B02	1124	4.0	
 	Unk_105	B03	1508	3.5	
 	Unk_106	B04	1520	3.5	
 	Unk_107	B05	1460	3.5	
 	Unk_108	B06	1484	3.5	
 	Unk_109	C01	1722	3.3	
 	Unk_110	C02	1578	3.4	
 	Unk_111	C03	1585	3.4	
 	Unk_112	C04	1688	3.3	
 	Unk_113	C05	1039	4.2	
 	Unk_114	C06	968	4.3	
 	Unk_115	D01	1507	3.5	
 	Unk_116	D02	1505	3.5	
 	Unk_117	D03	1396	3.6	
 	Unk_118	D04	1374	3.6	
 	Unk_119	D05	882	4.5	
 	Unk_120	D06	868	4.6	
 	Unk_121	A01	893	4.5	
 	Unk_122	A02	998	4.3	
 	Unk_123	A03	832	4.7	
 	Unk_124	A04	805	4.7	
 	Unk_125	A05	625	5.4	
 	Unk_126	A06	642	5.3	
 	Unk_127	B01	679	5.2	
 	Unk_128	B02	669	5.2	
 	Unk_129	B03	763	4.9	
 	Unk_130	B04	733	5.0	
 	Unk_131	B05	758	4.9	
 	Unk_132	B06	795	4.8	
 	Unk_133	C01	807	4.8	
 	Unk_134	C02	799	4.8	
 	Unk_135	C03	952	4.4	
 	Unk_136	C04	892	4.5	
 	Unk_137	C05	908	4.5	
 	Unk_138	C06	965	4.3	
 	Unk_139	D01	826	4.7	
 	Unk_140	D02	864	4.6	
 	Unk_141	D03	839	4.7	
 	Unk_142	D04	868	4.6	
 	Unk_143	D05	975	4.3	
 	Unk_144	D06	1025	4.2	
 	Unk_145	A01	833	4.7	
 	Unk_146	A02	884	4.5	
 	Unk_147	A03	1586	3.4	
 	Unk_148	A04	1522	3.5	
 	Unk_149	A05	1463	3.5	
 	Unk_150	A06	1512	3.5	
 	Unk_151	B01	1251	3.8	
 	Unk_152	B02	1491	3.5	
 	Unk_153	B03	1420	3.6	
 	Unk_154	B04	1413	3.6	
 	Unk_155	B05	1398	3.6	
 	Unk_156	B06	1312	3.7	
 	Unk_157	C01	1376	3.6	
 	Unk_158	C02	1361	3.7	
 	Unk_159	C03	1385	3.6	
 	Unk_160	C04	1425	3.6	
 	Unk_161	C05	1586	3.4	
 	Unk_162	C06	1489	3.5	
 	Unk_163	D01	1180	3.9	
 	Unk_164	D02	1201	3.9	
 	Unk_165	D03	1428	3.6	
 	Unk_166	D04	1522	3.5	
 	Unk_167	D05	1443	3.6	
 	Unk_168	D06	1420	3.6	
 	Unk_169	A01	894	4.5	
 	Unk_170	A02	871	4.6	
 	Unk_171	A03	1210	3.9	
 	Unk_172	A04	1270	3.8	
 	Unk_173	A05	1321	3.7	
 	Unk_174	A06	1270	3.8	
 	Unk_175	B01	1292	3.7	
 	Unk_176	B02	1300	3.7	
 	Unk_177	B03	1237	3.8	
 	Unk_178	B04	788	4.8	
 	Unk_179	B05	1344	3.7	
 	Unk_180	B06	1260	3.8	
 	Unk_181	C01	922	4.4	
 	Unk_182	C02	917	4.5	
 	Unk_183	C03	1325	3.7	
 	Unk_184	C04	1336	3.7	
 	Unk_185	C05	1411	3.6	
 	Unk_186	C06	1409	3.6	
 	Unk_187	D01	1328	3.7	
 	Unk_188	D02	1438	3.6	
 	Unk_189	D03	1622	3.4	
 	Unk_190	D04	1652	3.3	
 	Unk_191	D05	1274	3.8	
 	Unk_192	D06	1654	3.3	
 	Unk_193	A01	1594	3.4	
 	Unk_194	A02	1575	3.4	
 	Unk_195	A03	1495	3.5	
 	Unk_196	A04	1689	3.3	
 	Unk_197	A05	1538	3.4	
 	Unk_198	A06	1558	3.4	
 	Unk_199	B01	1586	3.4	
 	Unk_200	B02	1436	3.6	
 	Unk_201	B03	1374	3.6	
 	Unk_202	B04	1372	3.6	
 	Unk_203	B05	1124	4.0	
 	Unk_204	B06	1177	3.9	
 	Unk_205	C01	771	4.9	
 	Unk_206	C02	721	5.0	
 	Unk_207	C03	898	4.5	
 	Unk_208	C04	842	4.6	
 	Unk_209	C05	641	5.3	
 	Unk_210	C06	665	5.2	
 	Unk_211	D01	596	5.6	
 	Unk_212	D02	592	5.6	
 	Unk_213	D03	743	5.0	
 	Unk_214	D04	719	5.0	
 	Unk_215	D05	1073	4.1	
 	Unk_216	D06	1024	4.2	
 	Unk_217	A01	971	4.3	
 	Unk_218	A02	965	4.3	
 	Unk_219	A03	860	4.6	
 	Unk_220	A04	1018	4.2	
 	Unk_221	A05	861	4.6	
 	Unk_222	A06	829	4.7	
 	Unk_223	B01	846	4.6	
 	Unk_224	B02	921	4.4	
 	Unk_225	B03	776	4.8	
 	Unk_226	B04	880	4.5	
 	Unk_227	B05	638	5.3	
 	Unk_228	B06	660	5.2	
 	Unk_229	C01	931	4.4	
 	Unk_230	C02	848	4.6	
 	Unk_231	C03	1689	3.3	
 	Unk_232	C04	1692	3.3	
 	Unk_233	C05	1682	3.3	
 	Unk_234	C06	1624	3.4	
 	Unk_235	D01	1678	3.3	
 	Unk_236	D02	1602	3.4	
 	Unk_237	D03	1660	3.3	
 	Unk_238	D04	1597	3.4	
 	Unk_239	D05	1477	3.5	
 	Unk_240	D06	1480	3.5	
 	Unk_241	A01	1446	3.6	
 	Unk_242	A02	1546	3.4	
 	Unk_243	A03	1547	3.4	
 	Unk_244	A04	1505	3.5	
 	Unk_245	A05	1586	3.4	
 	Unk_246	A06	1388	3.6	
 	Unk_247	B01	1184	3.9	
 	Unk_248	B02	1266	3.8	
 	Unk_249	B03	1393	3.6	
 	Unk_250	B04	1558	3.4	
 	Unk_251	B05	1451	3.5	
 	Unk_252	B06	1342	3.7	
 	Unk_253	C01	1579	3.4	
 	Unk_254	C02	1563	3.4	
 	Unk_255	C03	1411	3.6	
 	Unk_256	C04	1567	3.4	
 	Unk_257	C05	1169	3.9	
 	Unk_258	C06	1070	4.1	
 	Unk_259	D01	1013	4.2	
 	Unk_260	D02	967	4.3	
 	Unk_261	D03	1240	3.8	
 	Unk_262	D04	1213	3.9	
 	Unk_263	D05	1094	4.1	
 	Unk_264	D06	1076	4.1	
 	Unk_265	A01	1273	3.8	
 	Unk_266	A02	1088	4.1	
 	Unk_267	A03	991	4.3	
 	Unk_268	A04	957	4.3	
 	Unk_269	A05	1046	4.2	
 	Unk_270	A06	1032	4.2	
 	Unk_271	B01	1170	3.9	
 	Unk_272	B02	1176	3.9	
 	Unk_273	B03	1428	3.6	
 	Unk_274	B04	1591	3.4	
 	Unk_275	B05	1569	3.4	
 	Unk_276	B06	1646	3.3	
 	Unk_277	C01	1682	3.3	
 	Unk_278	C02	1674	3.3	
 	Unk_279	C03	1486	3.5	
 	Unk_280	C04	1288	3.8	
 	Unk_281	C05	1500	3.5	
 	Unk_282	C06	1323	3.7	
 	Unk_283	D01	1248	3.8	
 	Unk_284	D02	1297	3.8	
 	Unk_285	D03	1182	3.9	
 	Unk_286	D04	1267	3.8	
 	Unk_287	D05	1256	3.8	
 	Unk_288	D06	1328	3.7	
 	Unk_289	A01	1224	3.8	
 	Unk_290	A02	1115	4.0	
 	Unk_291	A03	1227	3.8	
 	Unk_292	A04	1192	3.9	
 	Unk_293	A05	1298	3.7	
 	Unk_294	A06	1274	3.8	
 	Unk_295	B01	1299	3.7	
 	Unk_296	B02	1206	3.9	
 	Unk_297	B03	1292	3.7	
 	Unk_298	B04	1297	3.7	
 	Unk_299	B05	1216	3.9	
 	Unk_300	B06	1338	3.7	
 	Unk_301	C01	1378	3.6	
 	Unk_302	C02	1197	3.9	
 	Unk_303	C03	1295	3.8	
 	Unk_304	C04	1305	3.7	
 	Unk_305	C05	1378	3.6	
 	Unk_306	C06	1301	3.7	
 	Unk_307	D01	1266	3.8	
 	Unk_308	D02	1315	3.7	
 	Unk_309	D03	1257	3.8	
 	Unk_310	D04	1300	3.7	
 	Unk_311	D05	1437	3.6	
 	Unk_312	D06	1523	3.5	
 	Unk_313	A01	1298	3.7	
 	Unk_314	A02	1231	3.8	
 	Unk_315	A03	1391	3.6	
 	Unk_316	A04	1142	4.0	
 	Unk_317	A05	1287	3.8	
 	Unk_318	A06	1371	3.6	
 	Unk_319	B01	601	5.5	
 	Unk_320	B02	1292	3.7	
 	Unk_321	B03	1138	4.0	
 	Unk_322	B04	1325	3.7	
 	Unk_323	B05	1474	3.5	
 	Unk_324	B06	1408	3.6	
 	Unk_325	C01	1809	3.2	
 	Unk_326	C02	1512	3.5	
 	Unk_327	C03	1285	3.8	
 	Unk_328	C04	1570	3.4	
 	Unk_329	C05	1224	3.9	
 	Unk_330	C06	1716	3.3	
 	Unk_331	D01	1296	3.8	
 	Unk_332	D02	887	4.5	
 	Unk_333	D03	1691	3.3	
 	Unk_334	D04	1267	3.8	
 	Unk_335	D05	2004	3.0	
 	Unk_336	D06	1342	3.7	

PLATES:
=======
Plate 1
Cassette information:
Assay:-/Prot:16/Cass:16/Func:-/Cassette no:   1/Shelf: 1/4*6


CCPM1

 	1	2	3	4	5	6	
A	4630	4214	240	236	249	533	
B	990	926	911	950	974	986	
C	963	960	862	936	800	794	
D	720	707	583	1015	1071	996	

End of plate 1
Plate 2
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   2/Shelf: 2/4*6


CCPM1

 	1	2	3	4	5	6	
A	1281	1372	1157	1280	1198	1348	
B	1077	1099	1112	1036	1073	987	
C	1114	1200	899	947	1038	1089	
D	841	845	815	878	925	905	

End of plate 2
Plate 3
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   3/Shelf: 3/4*6


CCPM1

 	1	2	3	4	5	6	
A	948	25	906	858	738	743	
B	827	932	745	819	749	773	
C	848	800	1424	1362	1362	1231	
D	1230	1264	1236	1273	1239	1190	

End of plate 3
Plate 4
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   4/Shelf: 4/4*6


CCPM1

 	1	2	3	4	5	6	
A	1148	1146	1161	1154	1046	1040	
B	1156	1161	890	929	975	929	
C	935	1029	953	971	1068	1219	
D	1029	1159	1274	1238	1163	1221	

End of plate 4
Plate 5
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   5/Shelf: 5/4*6


CCPM1

 	1	2	3	4	5	6	
A	916	1066	1012	1005	989	1065	
B	1147	1124	1508	1520	1460	1484	
C	1722	1578	1585	1688	1039	968	
D	1507	1505	1396	1374	882	868	

End of plate 5
Plate 6
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   6/Shelf: 6/4*6


CCPM1

 	1	2	3	4	5	6	
A	893	998	832	805	625	642	
B	679	669	763	733	758	795	
C	807	799	952	892	908	965	
D	826	864	839	868	975	1025	

End of plate 6
Plate 7
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   7/Shelf: 7/4*6


CCPM1

 	1	2	3	4	5	6	
A	833	884	1586	1522	1463	1512	
B	1251	1491	1420	1413	1398	1312	
C	1376	1361	1385	1425	1586	1489	
D	1180	1201	1428	1522	1443	1420	

End of plate 7
Plate 8
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   8/Shelf: 8/4*6


CCPM1

 	1	2	3	4	5	6	
A	894	871	1210	1270	1321	1270	
B	1292	1300	1237	788	1344	1260	
C	922	917	1325	1336	1411	1409	
D	1328	1438	1622	1652	1274	1654	

End of plate 8
Plate 9
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:   9/Shelf: 9/4*6


CCPM1

 	1	2	3	4	5	6	
A	1594	1575	1495	1689	1538	1558	
B	1586	1436	1374	1372	1124	1177	
C	771	721	898	842	641	665	
D	596	592	743	719	1073	1024	

End of plate 9
Plate 10
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  10/Shelf:10/4*6


CCPM1

 	1	2	3	4	5	6	
A	971	965	860	1018	861	829	
B	846	921	776	880	638	660	
C	931	848	1689	1692	1682	1624	
D	1678	1602	1660	1597	1477	1480	

End of plate 10
Plate 11
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  11/Shelf:11/4*6


CCPM1

 	1	2	3	4	5	6	
A	1446	1546	1547	1505	1586	1388	
B	1184	1266	1393	1558	1451	1342	
C	1579	1563	1411	1567	1169	1070	
D	1013	967	1240	1213	1094	1076	

End of plate 11
Plate 12
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  12/Shelf:12/4*6


CCPM1

 	1	2	3	4	5	6	
A	1273	1088	991	957	1046	1032	
B	1170	1176	1428	1591	1569	1646	
C	1682	1674	1486	1288	1500	1323	
D	1248	1297	1182	1267	1256	1328	

End of plate 12
Plate 13
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  13/Shelf:13/4*6


CCPM1

 	1	2	3	4	5	6	
A	1224	1115	1227	1192	1298	1274	
B	1299	1206	1292	1297	1216	1338	
C	1378	1197	1295	1305	1378	1301	
D	1266	1315	1257	1300	1437	1523	

End of plate 13
Plate 14
Cassette information:
Assay:-/Prot:-/Cass:-/Func:-/Cassette no:  14/Shelf:14/4*6


CCPM1

 	1	2	3	4	5	6	
A	1298	1231	1391	1142	1287	1371	
B	601	1292	1138	1325	1474	1408	
C	1809	1512	1285	1570	1224	1716	
D	1296	887	1691	1267	2004	1342	

End of plate 14
Total count rate:   396987.2 CCPM
END
